,year,make,model,cda,cda_on_m
57,1998,audi,a4,6.35,0.00399981532821135
58,1999,audi,a4,6.35,0.0038618906617213034
59,2000,audi,a4,6.35,0.004147956636663622
60,2001,audi,a4,6.35,0.004147956636663622
62,1998,audi,a6,6.67,0.003459960679466196
63,1999,audi,a6,6.67,0.003794795583930667
64,2000,audi,a6,6.67,0.003794795583930667
65,2001,audi,a6,6.67,0.0036762082219328335
66,2002,audi,a6,6.67,0.003794795583930667
67,2003,audi,a6,6.67,0.003794795583930667
68,2004,audi,a6,6.67,0.003459960679466196
73,1998,audi,a8,6.78,0.003517021500266988
74,1999,audi,a8,6.78,0.003517021500266988
75,2000,audi,a8,6.78,0.003321631416918822
76,2001,audi,a8,6.78,0.003321631416918822
77,2002,audi,a8,6.78,0.003321631416918822
78,1998,audi,tt,7.28,0.004141845854724926
79,1999,audi,tt,7.28,0.003776388867543315
80,2000,audi,tt,7.28,0.004938354672941258
81,2001,audi,tt,7.28,0.004938354672941258
82,2002,audi,tt,7.28,0.004585615053445453
83,2003,audi,tt,7.28,0.004585615053445453
84,2004,audi,tt,7.28,0.004585615053445453
85,2005,audi,tt,7.28,0.004012413171764772
86,2006,audi,tt,7.28,0.004427490396430093
87,2006,audi,tt,6.75,0.004105159364821858
88,2007,audi,tt,6.75,0.004105159364821858
89,2008,audi,tt,6.75,0.004105159364821858
90,2009,audi,tt,6.75,0.004105159364821858
301,2001,chrysler,pt,9.51,0.0059902746096519585
302,2002,chrysler,pt,9.51,0.0057837134162156845
303,2003,chrysler,pt,9.51,0.005799712623452796
304,2004,chrysler,pt,9.51,0.0059902746096519585
305,2005,chrysler,pt,9.51,0.0059902746096519585
306,2006,chrysler,pt,9.51,0.0057837134162156845
312,2000,chrysler,sebring,6.65,0.0039095307827451626
317,2000,chrysler,sebring,7.85,0.0046150100217367705
320,1998,chrysler,voyager,11.19,0.00616743178462195
459,1998,ford,escort,6.67,0.00534721195917503
460,1999,ford,escort,6.67,0.00511472448268916
461,2000,ford,escort,6.67,0.00511472448268916
463,1998,ford,escort,7.14,0.005724002007272821
464,1999,ford,escort,7.14,0.005475132354782699
465,2000,ford,escort,7.14,0.005475132354782699
466,2001,ford,escort,7.14,0.005475132354782699
467,2002,ford,escort,7.14,0.005475132354782699
471,1998,ford,explorer,14.21,0.006961708323660246
472,1999,ford,explorer,14.21,0.007831921864117776
473,2000,ford,explorer,14.21,0.007831921864117776
474,2001,ford,explorer,14.21,0.007831921864117776
538,2001,ford,ranger,12.7,0.008295913273327245
539,2002,ford,ranger,12.7,0.008295913273327245
540,2003,ford,ranger,12.7,0.008295913273327245
541,2004,ford,ranger,12.7,0.008295913273327245
542,2005,ford,ranger,12.7,0.008295913273327245
543,2006,ford,ranger,12.7,0.008295913273327245
544,2007,ford,ranger,12.7,0.007723781323442607
545,2008,ford,ranger,12.7,0.00746632194599452
546,2009,ford,ranger,12.7,0.00746632194599452
599,1998,ford,windstar,10.55,0.005814692165126146
667,1998,honda,accord,7.41,0.004840371445303534
668,1999,honda,accord,7.41,0.004840371445303534
669,2000,honda,accord,7.41,0.004840371445303534
670,2001,honda,accord,7.41,0.004840371445303534
671,2002,honda,accord,7.41,0.004840371445303534
689,2006,honda,civic,6.36,0.004486847959986629
690,2007,honda,civic,6.36,0.004486847959986629
691,2008,honda,civic,6.36,0.004486847959986629
692,2009,honda,civic,6.36,0.004486847959986629
719,1998,honda,civic,7.62,0.006108808864904607
720,1999,honda,civic,7.62,0.006108808864904607
721,2000,honda,civic,7.62,0.006108808864904607
724,1998,honda,civic,6.85,0.005491514530786949
725,1999,honda,civic,6.85,0.005491514530786949
726,2000,honda,civic,6.85,0.005491514530786949
727,2003,honda,civic,5.99,0.004593283306043189
728,2004,honda,civic,5.99,0.004401896501624722
729,2005,honda,civic,5.99,0.004401896501624722
730,2005,honda,civic,5.9,0.0043357578229692596
731,2006,honda,civic,5.9,0.004162327510050489
732,2007,honda,civic,5.9,0.004162327510050489
733,2008,honda,civic,5.9,0.004162327510050489
734,2009,honda,civic,5.9,0.004162327510050489
751,1998,honda,civic,6.94,0.00556366581659291
752,1999,honda,civic,6.94,0.00556366581659291
753,2000,honda,civic,6.94,0.00556366581659291
780,2000,honda,insight,5.0,0.005187347345526531
781,2001,honda,insight,5.0,0.005187347345526531
782,2002,honda,insight,5.0,0.0048991613818861685
783,2003,honda,insight,5.0,0.0048991613818861685
784,2004,honda,insight,5.0,0.005187347345526531
785,2005,honda,insight,5.0,0.0048991613818861685
786,2006,honda,insight,5.0,0.005187347345526531
802,2007,honda,fit,8.085,0.006199782225268645
803,2008,honda,fit,8.085,0.006199782225268645
820,1998,honda,prelude,6.43,0.004200214358070408
821,1999,honda,prelude,6.43,0.004200214358070408
822,2000,honda,prelude,6.43,0.004200214358070408
823,2001,honda,prelude,6.43,0.004200214358070408
824,2000,honda,s2000,6.47,0.004564450676275705
825,2001,honda,s2000,6.47,0.004564450676275705
826,2002,honda,s2000,6.47,0.004564450676275705
827,2003,honda,s2000,6.47,0.004564450676275705
828,2004,honda,s2000,6.47,0.004564450676275705
829,2005,honda,s2000,6.47,0.004564450676275705
830,2006,honda,s2000,6.47,0.004564450676275705
831,2007,honda,s2000,6.47,0.004564450676275705
832,2008,honda,s2000,6.47,0.004564450676275705
833,2009,honda,s2000,6.47,0.004564450676275705
852,1998,hyundai,accent,6.35,0.0053330871042818
853,1999,hyundai,accent,6.35,0.0053330871042818
861,1998,hyundai,elantra,6.82,0.004626315778771892
862,1999,hyundai,elantra,6.82,0.00501184209366955
863,2000,hyundai,elantra,6.82,0.00501184209366955
864,2001,hyundai,elantra,7.29,0.005142943652248824
865,2002,hyundai,elantra,7.29,0.005142943652248824
866,2003,hyundai,elantra,7.29,0.005142943652248824
867,2004,hyundai,elantra,7.29,0.004945138127162331
868,2005,hyundai,elantra,7.29,0.004945138127162331
869,2006,hyundai,elantra,7.29,0.004945138127162331
870,2007,hyundai,elantra,7.34,0.0051782176141984045
