year,make,model,cda,cda_on_m,ids
1998,audi,a4,6.35,0.0039998153282113,"[14165, 14166, 14167, 14168, 14169, 14170, 14171, 14172, 14407, 14408, 14409]"
1999,audi,a4,6.35,0.0038618906617213,"[14944, 14945, 14946, 14947, 14948, 14949, 14950, 14951, 15204, 15205, 15206, 15207]"
2000,audi,a4,6.35,0.0041479566366636,"[15742, 15743, 15744, 15745, 15746, 15747, 15748, 15749, 16010, 16011, 16012, 16013, 16014]"
2001,audi,a4,6.35,0.0041479566366636,"[16574, 16575, 16576, 16577, 16578, 16579, 16580, 16870, 16871, 16872, 16873]"
1998,audi,a6,6.67,0.0034599606794661,"[14279, 14280, 14410]"
1999,audi,a6,6.67,0.0037947955839306,"[15071, 15072, 15227]"
2000,audi,a6,6.67,0.0037947955839306,"[15873, 15874, 15875, 15876, 15877, 15878, 16033]"
2001,audi,a6,6.67,0.0036762082219328,"[16736, 16737, 16738, 16739, 16740, 16897]"
2002,audi,a6,6.67,0.0037947955839306,"[17666, 17667, 17668, 17669, 17670, 17834]"
2003,audi,a6,6.67,0.0037947955839306,"[18631, 18632, 18633, 18634, 18635, 18797]"
2004,audi,a6,6.67,0.0034599606794661,"[19713, 19714, 19715, 19716, 19717, 19910]"
1998,audi,a8,6.78,0.0035170215002669,"[14281, 14282]"
1999,audi,a8,6.78,0.0035170215002669,"[15073, 15074]"
2000,audi,a8,6.78,0.0033216314169188,"[15879, 15981]"
2001,audi,a8,6.78,0.0033216314169188,"[16741, 16838]"
2002,audi,a8,6.78,0.0033216314169188,"[17671, 17768]"
1998,audi,tt,7.28,0.0041418458547249,"[14169, 14170, 14171, 14172, 14280, 14408, 14409, 14410]"
1999,audi,tt,7.28,0.0037763888675433,"[14948, 14949, 14950, 14951, 15072, 15074, 15204, 15205, 15206, 15207, 15227]"
2000,audi,tt,7.28,0.0049383546729412,"[15626, 15627, 15746, 15747, 15748, 15749, 15874, 15875, 15876, 15877, 15878, 15879, 16011, 16012, 16013, 16014, 16033]"
2001,audi,tt,7.28,0.0049383546729412,"[16427, 16428, 16466, 16467, 16468, 16577, 16578, 16579, 16580, 16737, 16738, 16739, 16740, 16741, 16742, 16870, 16871, 16872, 16873, 16897]"
2002,audi,tt,7.28,0.0045856150534454,"[17335, 17336, 17378, 17379, 17380, 17493, 17494, 17495, 17496, 17667, 17668, 17669, 17670, 17671, 17672, 17800, 17801, 17802, 17803, 17834]"
